antenne,nom complet,qualite,parti,CLR,color_num_rand,datetime
France Info,Jean-Michel Blanquer,Ministre de l'Éducation nationale et de la Jeunesse,La République en marche !,CENTRE (majorité),4.379721386515144,2020-09-25
Europe 1,Gabriel Attal,Secrétaire d'État auprès du Premier ministre Porte-parole du gouvernement,La République en marche !,CENTRE (majorité),4.145623767843286,2020-09-25
France Info,François Hollande,Ancien Président de la République,Parti socialiste,GAUCHE,2.6103158755882747,2020-09-25
LCP,Philippe Vigier,Député d'Eure-et-Loir,UDI,CENTRE DROIT,7.547823040894583,2020-09-25
Le Figaro,Pierre-Henri Dumont,Député du Pas-de-Calais,Les Républicains,DROITE,8.477548444944969,2020-09-25
RMC-BFM TV,Barbara Pompili,Ministre de la Transition écologique,UDE,CENTRE GAUCHE,3.089516634498803,2020-09-25
Public Sénat,François Rebsamen,Maire de Dijon et ancien ministre du Travail,Parti socialiste,GAUCHE,2.266649249161403,2020-09-25
RMC,Emmanuelle Wargon,Ministre déléguée chargée du Logement,Divers,DIV,6.477180133022302,2020-09-25
Sud Radio,Geneviève Darrieussecq,Ministre déléguée chargée de la Mémoire et des Anciens Combattants,MoDem,CENTRE,5.738543182952258,2020-09-25
Public Sénat,Bernard Jomier,Sénateur de Paris,Parti socialiste,GAUCHE,2.0347337529797183,2020-09-25
Europe 1,Alain Juppé,Ancien Premier ministre,Les Républicains,DROITE,8.75606655732085,2020-09-26
France Inter,Olivia Grégoire,"Secrétaire d'État chargée de l'Économie sociale, solidaire et responsable",La République en marche !,CENTRE (majorité),4.474436389258885,2020-09-26
LCI,Renaud Muselier,Président du conseil régional de Provence-Alpes-Côte d'Azur,Les Républicains,DROITE,8.216522830754554,2020-09-27
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.57079384021867,2020-09-28
France Inter,Christian Jacob,Député de Seine-et-Marne et Président du groupe Les Républicains à l'Assemblée nationale,Les Républicains,DROITE,8.728649852777005,2020-09-28
Europe 1,Roxana Maracineanu,Ministre des Sports,Divers,DIV,6.505793201527436,2020-09-28
Public Sénat,Marc Fesneau,Ministre chargé des Relations avec le Parlement,MoDem,CENTRE,5.689163066271278,2020-09-28
CNews,Manuel Valls,Ancien Premier ministre,Divers gauche,GAUCHE,2.071198459914319,2020-09-28
BFM TV,Renaud Muselier,Président du conseil régional de Provence-Alpes-Côte d'Azur,Les Républicains,DROITE,8.379064476189505,2020-09-28
France Info,Alain Griset,Ministre délégué chargé des Petites et Moyennes entreprises,Divers,DIV,6.677715091594297,2020-09-28
France Info,Aurore Bergé,Députée des Yvelines,La République en marche !,CENTRE (majorité),4.22524332797844,2020-09-28
LCP,Frédérique Vidal,"Ministre de l'Enseignement supérieur, de la Recherche et de l'Innovation",Divers,DIV,6.558300433822182,2020-09-28
Europe 1,Valérie Pécresse,Présidente du Conseil régional d'Île-de-France,Les Républicains,DROITE,8.634483951504162,2020-09-28
LCI,Lionel Jospin,Ancien Premier ministre,Parti socialiste,GAUCHE,2.212004203353805,2020-09-29
Le Figaro,Julien Aubert,Député du Vaucluse,Les Républicains,DROITE,8.718277176352235,2020-09-29
RFI,Laurent Pietraszewski,Secrétaire d'État chargé des Retraites et de la Santé au travail,La République en marche !,CENTRE (majorité),4.479697103079799,2020-09-29
France Info,Emmanuelle Wargon,Ministre déléguée chargée du Logement,Divers,DIV,6.466590367958913,2020-09-29
LCI,Michel Sapin,Ancien ministre,Parti socialiste,GAUCHE,2.065662528733513,2020-09-29
Europe 1,Cédric O,Secrétaire d'État chargé de la Transition numérique et des Communications électroniques,La République en marche !,CENTRE (majorité),4.589458733226431,2020-09-29
Sud Radio,Sarah El Haïry,Secrétaire d'État chargée de la Jeunesse et de l'Engagement,MoDem,CENTRE,5.64466440988677,2020-09-29
RMC-BFM TV,Olivier Dussopt,Secrétaire d'État auprès du Ministre de l'Action et des Comptes publics,Divers,DIV,6.083145827335236,2020-09-29
Public Sénat,Bruno Belin,Sénateur de la Vienne,Les Républicains,DROITE,8.340049795501583,2020-09-29
France Inter,Bruno Le Maire,Ministre de l'Économie,La République en marche !,CENTRE (majorité),4.242747466152248,2020-09-29
RMC,Patrick Karam,Conseiller régional d'Ile-de-France,Les Républicains,DROITE,8.43547893717267,2020-09-29
CNews,Nadine Morano,Députée européenne,Les Républicains,DROITE,8.793714496305743,2020-09-30
RFI,Esther Benbassa,Sénatrice du Val-de-Marne,Europe écologie - Les Verts,GAUCHE,2.049043796994756,2020-09-30
France Inter,Pierre Moscovici,Ancien ministre de l'Economie et des Finances,Parti socialiste,GAUCHE,2.391234091816958,2020-09-30
RMC,Adrien Quatennens,Député du Nord,La France insoumise,EXT G,1.1500731126331312,2020-09-30
Le Figaro,Renaud Muselier,Président du conseil régional de Provence-Alpes-Côte d'Azur,Les Républicains,DROITE,8.051108061650318,2020-09-30
Europe 1,Eric Ciotti,Député des Alpes-Maritimes et Président du conseil départemental des Alpes-Maritimes,Les Républicains,DROITE,8.21205892380663,2020-09-30
LCI,Bruno Le Maire,Ministre de l'Économie,La République en marche !,CENTRE (majorité),4.2840553765841225,2020-09-30
Public Sénat,Elsa Schalck,Sénatrice du Bas-Rhin,Les Républicains,DROITE,8.176431594723388,2020-09-30
Public Sénat,Valérie Rabault,Députée du Tarn-et-Garonne,Parti socialiste,GAUCHE,2.443375856323559,2020-09-30
Sud Radio,Stéphane Le Foll,Ancien ministre,Parti socialiste,GAUCHE,2.6046406891016023,2020-09-30
RTL,Yannick Jadot,Député européen,Europe écologie - Les Verts,GAUCHE,2.35065506937942,2020-09-30
RMC,Barbara Pompili,Ministre de la Transition écologique,UDE,CENTRE GAUCHE,3.7663353911174937,2020-09-30
Europe 1,Frédérique Vidal,"Ministre de l'Enseignement supérieur, de la Recherche et de l'Innovation",Divers,DIV,6.26242930757986,2020-09-30
Europe 1,Florence Parly,Ministre des Armées,La République en marche !,CENTRE (majorité),4.176818128302445,2020-10-01
LCI,Frédéric Péchenard,Vice-président du Conseil régional d'Île-de-France et conseiller de Paris,Les Républicains,DROITE,8.065658022082426,2020-10-01
Public Sénat,Eric Woerth,Député de l'Oise,Les Républicains,DROITE,8.046988188525948,2020-10-01
Sud Radio,Jacqueline Gourault,Ministre de la Cohésion des territoires et des Relations avec les collectivités territoriales,MoDem,CENTRE,5.437448856176218,2020-10-01
Public Sénat,Claude Malhuret,Président du groupe Les Indépendants  République et territoires au Sénat,Agir,CENTRE DROIT,7.335428913989033,2020-10-01
LCP,George Pau-Langevin,Ancienne ministre,Parti socialiste,GAUCHE,2.3627818169354793,2020-10-01
Le Figaro,Jean-Paul Garraud,Député européen,Divers droite,DROITE,8.113000900714521,2020-10-01
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.497709220366717,2020-10-02
Europe 1,Sophie Cluzel,Secrétaire d'État chargée des Personnes handicapées,Divers,DIV,6.655240789239588,2020-10-02
LCI,Gabriel Attal,Secrétaire d'État auprès du Premier ministre Porte-parole du gouvernement,La République en marche !,CENTRE (majorité),4.441066962335917,2020-10-02
LCP,Anne-Sophie Pelletier,Députée européenne,La France insoumise,EXT G,1.4049522166322097,2020-10-02
LCP,Patrick Kanner,Sénateur du Nord,Parti socialiste,GAUCHE,2.156735409971975,2020-10-02
RFI,Patrick Karam,Conseiller régional d'Ile-de-France,Les Républicains,DROITE,8.416912266450662,2020-10-02
RMC-BFM TV,Bruno Retailleau,Sénateur de la Vendée et Président du conseil régional des Pays de la Loire,Les Républicains,DROITE,8.576069255013966,2020-10-02
Le Figaro,Eric Diard,Député des Bouches-du-Rhône,Les Républicains,DROITE,8.071965723084002,2020-10-02
Radio Classique,Elisabeth Borne,"Ministre du Travail, de l'Emploi et de l'Insertion",La République en marche !,CENTRE (majorité),4.212503038577094,2020-10-02
Europe 1,Marlène Schiappa,Ministre déléguée chargée de la Citoyenneté,La République en marche !,CENTRE (majorité),4.701872514681384,2020-10-02
Public Sénat,Stanislas Guerini,Député de Paris,La République en marche !,CENTRE (majorité),4.3572193522778715,2020-10-02
CNews,Philippe Juvin,Maire de La Garenne-Colombes,Les Républicains,DROITE,8.323162248837585,2020-10-02
Sud Radio,Nicolas Bay,Deputé européen,Rassemblement national,EXT D,9.004129256108772,2020-10-02
Public Sénat,Hervé Marseille,Président du groupe Union centriste du Sénat,UDI,CENTRE DROIT,7.439214447254409,2020-10-02
France Inter,Marlène Schiappa,Ministre déléguée chargée de la Citoyenneté,La République en marche !,CENTRE (majorité),4.4936276566140005,2020-10-03
RTL,Cédric Villani,Député de l'Essonne,La République en marche !,CENTRE (majorité),4.77389740246748,2020-10-04
LCI,Nadine Morano,Députée européenne,Les Républicains,DROITE,8.395268281310326,2020-10-04
Europe 1,Marlène Schiappa,Ministre déléguée chargée de la Citoyenneté,La République en marche !,CENTRE (majorité),4.458970367867721,2020-10-04
BFM TV,Renaud Muselier,Président du conseil régional de Provence-Alpes-Côte d'Azur,Les Républicains,DROITE,8.033778457500437,2020-10-04
BFM TV,Jean-Michel Blanquer,Ministre de l'Éducation nationale et de la Jeunesse,La République en marche !,CENTRE (majorité),4.091043358438677,2020-10-04
CNews,Alain Juppé,Ancien Premier ministre,Les Républicains,DROITE,8.012636660322471,2020-10-05
LCP,Marlène Schiappa,Ministre déléguée chargée de la Citoyenneté,La République en marche !,CENTRE (majorité),4.705418941580001,2020-10-05
France Inter,Sébastien Lecornu,Ministre des Outre-mer,La République en marche !,CENTRE (majorité),4.6742370101944655,2020-10-05
Public Sénat,François-Xavier Bellamy,Député européen,Les Républicains,DROITE,8.077509907504206,2020-10-05
Europe 1,Yannick Jadot,Député européen,Europe écologie - Les Verts,GAUCHE,2.4103812791760344,2020-10-05
Radio Classique,Manuel Valls,Ancien Premier ministre,Divers gauche,GAUCHE,2.338738871315043,2020-10-05
LCP,Hervé Saulignac,Député de l'Ardèche,Parti socialiste,GAUCHE,2.6140490936856677,2020-10-05
LCP,Loïc Dombreval,Député des Alpes-Maritimes,La République en marche !,CENTRE (majorité),4.534776603015586,2020-10-05
RFI,Aurélien Taché,Député du Val-d'Oise,La République en marche !,CENTRE (majorité),4.375455064431698,2020-10-05
RMC-BFM TV,Marlène Schiappa,Ministre déléguée chargée de la Citoyenneté,La République en marche !,CENTRE (majorité),4.072708147165122,2020-10-05
LCI,Christian Estrosi,Maire de Nice,Les Républicains,DROITE,8.519540777270784,2020-10-05
Sud Radio,Gilles Platret,Maire de Chalon-su-Saône et porte-parole des Républicains,Les Républicains,DROITE,8.632171371996872,2020-10-05
Public Sénat,Sophie Taillé-Polian,Sénatrice du Val-de-Marne,Génération.s,GAUCHE,2.753587838730489,2020-10-05
RMC,Philippe Juvin,Maire de La Garenne-Colombes,Les Républicains,DROITE,8.656846508205406,2020-10-06
BFM TV,Sébastien Chenu,Député du Nord,Rassemblement national,EXT D,9.257178039269643,2020-10-06
France Info,Hervé Morin,Président de la Région Normandie,UDI,CENTRE DROIT,7.778664792342901,2020-10-06
RMC,Samia Ghali,2e adjointe à la mairie de Marseille,Parti socialiste,GAUCHE,2.6450244679706203,2020-10-06
RTL,Marine Le Pen,Présidente du Rassemblement national et députée du Pas-de-Calais,Rassemblement national,EXT D,9.533635692440985,2020-10-06
Sud Radio,Julien Bayou,Secrétaire national d'EELV et conseiller régional d'Ile-de-France,Europe écologie - Les Verts,GAUCHE,2.757459835331382,2020-10-06
Public Sénat,Adrien Quatennens,Député du Nord,La France insoumise,EXT G,1.1379175358424027,2020-10-06
Public Sénat,Rémi Cardon,Sénateur de la Somme,Parti socialiste,GAUCHE,2.6579863531332073,2020-10-06
France Inter,Elisabeth Borne,"Ministre du Travail, de l'Emploi et de l'Insertion",La République en marche !,CENTRE (majorité),4.34697664717107,2020-10-06
RFI,Nicolas Dupont-Aignan,"Président de Debout la France, député de l'Essonne",Debout la France,DROITE,8.177052577450738,2020-10-06
RMC,Joël Giraud,Secrétaire d'État chargé de la Ruralité,La République en marche !,CENTRE (majorité),4.0294778522386405,2020-10-06
Le Figaro,Olivia Grégoire,"Secrétaire d'État chargée de l'Économie sociale, solidaire et responsable",La République en marche !,CENTRE (majorité),4.475063049959903,2020-10-06
LCI,Jean-Pierre Raffarin,Ancien Premier ministre,Les Républicains,DROITE,8.444783866294776,2020-10-06
France 2,Emmanuel Macron,Président de la République,La République en marche !,CENTRE (majorité),4.24826690851654,2020-10-07
Public Sénat,Jean-François Husson,Sénateur de Meurthe-et-Moselle,Les Républicains,DROITE,8.36399763097908,2020-10-07
RMC,Alain Griset,Ministre délégué chargé des Petites et Moyennes entreprises,Divers,DIV,6.682304060203405,2020-10-07
Sud Radio,Joël Giraud,Secrétaire d'État chargé de la Ruralité,La République en marche !,CENTRE (majorité),4.317213692723096,2020-10-07
Public Sénat,Jean-Baptiste Lemoyne,"Secrétaire d'État chargé du Tourisme, des Français de létranger et de la Francophonie",La République en marche !,CENTRE (majorité),4.147738925435901,2020-10-07
Europe 1,Julien Denormandie,Ministre de l'Agriculture et de l'Alimentation,La République en marche !,CENTRE (majorité),4.081945646969129,2020-10-07
LCI,Agnès Pannier-Runacher,Ministre déléguée chargée de l'Industrie,La République en marche !,CENTRE (majorité),4.211327069729315,2020-10-07
France Inter,Bruno Retailleau,Sénateur de la Vendée et Président du conseil régional des Pays de la Loire,Les Républicains,DROITE,8.367233165250022,2020-10-07
RMC-BFM TV,Delphine Batho,Députée des Deux-Sèvres,Génération écologie,GAUCHE,2.5391463212582095,2020-10-07
BFM TV,Sandra Regol,Secrétaire national adjointe d'EELV,Europe écologie - Les Verts,GAUCHE,2.559531695958092,2020-10-07
Le Figaro,Yaël  Braun-Pivet,Députée des Yvelines,La République en marche !,CENTRE (majorité),4.199350834892368,2020-10-07
CNews,Jean-Philippe Tanguy,Porte-parole de Debout la France,Debout la France,DROITE,8.70443968243684,2020-10-07
Europe 1,Christian Jacob,Député de Seine-et-Marne et Président du groupe Les Républicains à l'Assemblée nationale,Les Républicains,DROITE,8.177820304095999,2020-10-08
RMC-BFM TV,Eric Dupond-Moretti,"Garde des Sceaux, ministre de la Justice",Divers,DIV,6.328735441018767,2020-10-08
Public Sénat,Pierre-Antoine Lévi,Sénateur du Tarn-et-Garonne,Divers,DIV,6.703297672209357,2020-10-08
Sud Radio,Aurore Bergé,Députée des Yvelines,La République en marche !,CENTRE (majorité),4.1857106424114825,2020-10-08
Public Sénat,Damien Abad,"Député de l'Ain, Président du groupe Les Républicains à l'Assemblée nationale",Les Républicains,DROITE,8.261192032830266,2020-10-08
CNews,Marlène Schiappa,Ministre déléguée chargée de la Citoyenneté,La République en marche !,CENTRE (majorité),4.354244168007262,2020-10-08
RMC,Robert Ménard,Maire de Béziers,Divers droite,DROITE,8.709378005599595,2020-10-08
LCP,Marie-Pierre Rixain,Députée de l'Essonne,La République en marche !,CENTRE (majorité),4.611364886998217,2020-10-08
Radio Classique,Valérie Pécresse,Présidente du Conseil régional d'Île-de-France,Les Républicains,DROITE,8.219007059901022,2020-10-08
LCP,Aurélien Taché,Député du Val-d'Oise,La République en marche !,CENTRE (majorité),4.766701627245746,2020-10-09
Le Figaro,Jean-François Copé,Maire de Meaux,Les Républicains,DROITE,8.400054774597294,2020-10-09
Public Sénat,Stéphane Troussel,Président du Conseil Départemental de la Seine-Saint-Denis,Parti socialiste,GAUCHE,2.1585509623301817,2020-10-09
Radio Classique,Marlène Schiappa,Ministre déléguée chargée de la Citoyenneté,La République en marche !,CENTRE (majorité),4.252385566864183,2020-10-09
France Inter,Gaël Perdriau,Maire de Saint-Etienne,Les Républicains,DROITE,8.796226014122206,2020-10-09
CNews,Amélie de Montchalin,Ministre de la Transformation et de la Fonction publiques,La République en marche !,CENTRE (majorité),4.00872135130585,2020-10-09
Public Sénat,Christine Lavarde,Sénatrice des Hauts-de-Seine,Les Républicains,DROITE,8.597070664385802,2020-10-09
France Inter,Sandra Regol,Secrétaire national adjointe d'EELV,Europe écologie - Les Verts,GAUCHE,2.6834908825433206,2020-10-10
BFM TV,Valérie Pécresse,Présidente du Conseil régional d'Île-de-France,Les Républicains,DROITE,8.217880741553484,2020-10-11
LCI,Philippe Juvin,Maire de La Garenne-Colombes,Les Républicains,DROITE,8.761668163674868,2020-10-11
LCP,Barbara Bessot Ballot,Députée de Haute-Saône,La République en marche !,CENTRE (majorité),4.3825167468784105,2020-10-12
Public Sénat,Jean Hingray,Sénateur des Vosges,UDI,CENTRE DROIT,7.2808574023483645,2020-10-12
Sud Radio,Stéphane Ravier,Sénateur des Bouches-du-Rhône,Rassemblement national,EXT D,9.525540145164953,2020-10-12
Public Sénat,Audrey Pulvar,Adjointe au maire de Paris,Divers gauche,GAUCHE,2.3171893105862447,2020-10-12
Europe 1,Alice Coffin,Conseillère de Paris,Europe écologie - Les Verts,GAUCHE,2.6838757214182247,2020-10-12
France Info,Jean Castex,Premier ministre,Les Républicains,DROITE,8.266922051779655,2020-10-12
LCP,Pierre Cordier,Député des Ardennes,Les Républicains,DROITE,8.227651232973695,2020-10-12
CNews,Christophe Naegelen,Député des Vosges,UDI,CENTRE DROIT,7.510433035306129,2020-10-12
France Info,Olivia Grégoire,"Secrétaire d'État chargée de l'Économie sociale, solidaire et responsable",La République en marche !,CENTRE (majorité),4.106914556596473,2020-10-12
LCP,Agnès Pannier-Runacher,Ministre déléguée chargée de l'Industrie,La République en marche !,CENTRE (majorité),4.386983285586571,2020-10-12
BFM TV,Robin Reda,Député de l'Essonne,Les Républicains,DROITE,8.433547376803936,2020-10-12
LCP,Michel Sapin,Ancien ministre,Parti socialiste,GAUCHE,2.7999183556495333,2020-10-12
CNews,Laurent Jacobelli,Délégué national du Rassemblement national,Rassemblement national,EXT D,9.157793345013044,2020-10-12
CNews,Sébastien Chenu,Député du Nord,Rassemblement national,EXT D,9.199617691076973,2020-10-12
RMC,Patrick Karam,Conseiller régional d'Ile-de-France,Les Républicains,DROITE,8.061223424253402,2020-10-13
RMC-BFM TV,Marine Le Pen,Présidente du Rassemblement national et députée du Pas-de-Calais,Rassemblement national,EXT D,9.370177184657608,2020-10-13
